	organism_name	taxid
9836	Brucella abortus 88/19	1160178
9837	Brucella abortus 88/226	1160194
9838	Brucella abortus 90/50	1160196
9839	Brucella abortus 93/1	1160197
9840	Brucella abortus CNGB 1011	1198692
9841	Brucella abortus CNGB 1432	1198693
9842	Brucella abortus CNGB 308	1198688
9843	Brucella abortus CNGB 436	1198687
9844	Brucella melitensis UK22/06	1160221
9845	Brucella abortus 63/59	1160183
9846	Brucella melitensis CNGB 1076	1198679
9847	Brucella abortus NI518	1160161
9848	Brucella abortus NI628	1160160
9849	Brucella abortus NI593	1160171
9850	Brucella abortus NI639	1160175
9851	Brucella abortus NI622	1160173
9852	Brucella abortus NI613	1160172
9853	Brucella abortus NI633	1160174
9854	Brucella abortus NI645	1160176
9855	Brucella abortus NI649	1160162
9856	Brucella canis UK10/02	1198696
9857	Brucella melitensis 64/150	1160220
9858	Brucella melitensis 66/59	1160224
9859	Brucella melitensis CNGB 1120	1198680
9860	Brucella melitensis CNGB 290	1198681
9861	Brucella melitensis F10/05-2	1160211
9862	Brucella melitensis F2/06-6	1160226
9863	Brucella melitensis F3/02	1160210
9864	Brucella melitensis F5/07-239A	1160215
9865	Brucella melitensis F6/05-6	1169225
9866	Brucella melitensis R3/07-2	1160218
9867	Brucella melitensis UK19/04	1160223
9868	Brucella ovis 80/125	1169231
9869	Brucella ovis F8/05B	1198678
9870	Brucella sp. UK5/01	437685
9871	Brucella sp. UK38/05	1160234
9872	Klebsiella pneumoniae subsp. pneumoniae 12-3578	1306950
9873	Mycoplasma flocculare ATCC 27716	1004152
9874	Cutibacterium avidum 44067	1170318
9875	Taylorella equigenitalis 14/56	1091497
9876	Brucella canis CNGB 1172	1198686
9877	Brucella canis CNGB 1324	1198684
9878	Brucella canis F7/05A	1198699
9879	Elizabethkingia meningoseptica ATCC 13253 = NBRC 12535	1216967
9880	Sphingobium xenophagum NBRC 107872	1219037
9881	Streptomyces prunicolor NBRC 13075	1312234
9882	Rickettsia prowazekii str. Breinl	1290428
9883	Raoultella ornithinolytica B6	1286170
9884	Mycoplasma alkalescens 14918	1188234
9885	Neisseria meningitidis NMB	1172206
9886	Anoxybacillus flavithermus NBRC 109594	1315967
9887	Tetrasphaera elongata Lp2	1193181
9888	Erwinia amylovora Ea356	1255303
9889	Erwinia amylovora Ea266	1255304
9890	Erwinia amylovora CFBP 2585	1255305
9891	Erwinia amylovora 01SFR-BO	1255306
9892	Erwinia amylovora CFBP 1232	1255307
9893	Erwinia amylovora UPN527	1255308
9894	Erwinia amylovora Ea644	1255309
9895	Coxiella burnetii Z3055	1293501
9896	Staphylococcus aureus M1	1305598
9897	Mycoplasma auris 15026	1188233
9898	Mycoplasma arginini 7264	1188236
9899	Mycoplasma bovigenitalium 51080	1188235
9900	Pseudomonas putida TRO1	1227924
9901	Aeromonas diversa CDC 2478-85	1268237
9902	Acinetobacter calcoaceticus NIPH 13	1217654
9903	Acinetobacter baumannii NIPH 24	1217646
9904	Acinetobacter sp. CIP A162	1144674
9905	Acinetobacter bohemicus ANC 3994	1217715
9906	Acinetobacter sp. NIPH 809	1217713
9907	Acinetobacter sp. NIPH 236	1217711
9908	Acinetobacter sp. CIP-A165	40373
9909	Acinetobacter parvus NIPH 1103	1217671
9911	Acinetobacter johnsonii CIP 64.6	1217663
9912	Acinetobacter seifertii	1530123
9913	Acinetobacter nosocomialis NIPH 2119	1217670
9914	Acinetobacter baumannii NIPH 1669	1217643
9915	Acinetobacter baumannii NIPH 1362	1217642
9916	Acinetobacter guillouiae CIP 63.46	1217655
9917	Acinetobacter lwoffii NIPH 715	1217669
9918	Acinetobacter baumannii NIPH 146	1217639
9919	Acinetobacter baumannii NIPH 615	1217641
9920	Acinetobacter baumannii NIPH 2061	1217645
9921	Acinetobacter baumannii NIPH 1734	1217644
9922	Acinetobacter sp. ANC 3789	1217714
9923	Acinetobacter sp. CIP 102159	1144667
9924	Acinetobacter sp. CIP 102129	1144664
9925	Acinetobacter sp. CIP 102529	1144668
9926	Acinetobacter sp. NIPH 758	1217712
9927	Acinetobacter sp. CIP 102082	1144663
9928	Acinetobacter sp. NIPH 899	1217710
9929	Acinetobacter sp. NIPH 817	520708
9930	Acinetobacter sp. CIP 102637	1144669
9931	Acinetobacter sp. CIP 56.2	1144672
9932	Acinetobacter schindleri NIPH 900	1217675
9933	Acinetobacter guillouiae NIPH 991	1217656
9934	Acinetobacter bereziniae NIPH 3	1217651
9935	Acinetobacter baumannii NIPH 190	1217640
9936	Acinetobacter baumannii NIPH 60	1217647
9937	Acinetobacter gerneri DSM 14967 = CIP 107464	1120926
9939	Acinetobacter nosocomialis NIPH 386	1217985
9940	Acinetobacter schindleri CIP 107287	1217988
9941	Acinetobacter brisouii ANC 4119	1217652
9942	Acinetobacter junii CIP 107470	1217666
9943	Acinetobacter baylyi DSM 14961 = CIP 107474	1120924
9944	Acinetobacter soli CIP 110264	1217676
9945	Acinetobacter soli NIPH 2899	1217677
9946	Acinetobacter junii NIPH 182	1217665
9947	Acinetobacter junii CIP 64.5	1217664
9948	Acinetobacter towneri DSM 14962 = CIP 107472	1120929
9949	Acinetobacter johnsonii ANC 3681	1217662
9951	Acinetobacter ursingii ANC 3649	1257043
9952	Acinetobacter bouvetii DSM 14964 = CIP 107468	1120925
9953	Acinetobacter radioresistens NIPH 2130	1217674
9956	Acinetobacter calcoaceticus ANC 3680	1217653
9957	Acinetobacter calcoaceticus DSM 30006 = CIP 81.8	981331
9958	Acinetobacter beijerinckii ANC 3835	1217649
9959	Acinetobacter beijerinckii CIP 110307	1217648
9960	Acinetobacter pittii ANC 3678	1217673
9961	Acinetobacter pittii ATCC 19004 = CIP 70.29	1311774
9962	Acinetobacter haemolyticus CIP 64.3	1217659
9963	Acinetobacter haemolyticus NIPH 261	1217986
9965	Acinetobacter lwoffii ATCC 9957 = CIP 70.31	1311804
9966	Acinetobacter lwoffii NIPH 478	1217668
9967	Acinetobacter baumannii NIPH 201	1217630
9968	Acinetobacter baumannii NIPH 527	1217635
9969	Acinetobacter baumannii NIPH 335	1217633
9970	Acinetobacter baumannii NIPH 329	1217632
9971	Acinetobacter baumannii NIPH 601	1217637
9972	Acinetobacter baumannii NIPH 67	1217627
9973	Acinetobacter baumannii NIPH 528	1217636
9974	Acinetobacter baumannii NIPH 70	1217628
9975	Acinetobacter baumannii NIPH 290	1217631
9976	Acinetobacter baumannii NIPH 80	1217629
9977	Acinetobacter baumannii ANC 4097	1217638
9979	Acinetobacter sp. ANC 3929	1217707
9980	Acinetobacter sp. NIPH 284	1217704
9981	Acinetobacter sp. NIPH 713	1217709
9982	Acinetobacter sp. CIP 53.82	1144671
9983	Acinetobacter sp. ANC 4105	1217703
9984	Acinetobacter sp. NIPH 298	1217692
9985	Acinetobacter sp. CIP 70.18	1217700
9986	Acinetobacter sp. NIPH 1867	1217702
9987	Acinetobacter sp. ANC 3862	1217705
9988	Acinetobacter sp. CIP 101934	1144661
9989	Acinetobacter sp. NIPH 1847	1217697
9990	Acinetobacter variabilis	70346
9991	Acinetobacter sp. CIP 64.2	1217694
9992	Acinetobacter sp. CIP 51.11	1144670
9993	Acinetobacter sp. CIP 102136	1144665
9994	Acinetobacter sp. NIPH 2168	1217706
9995	Acinetobacter sp. CIP 101966	1144662
9996	Acinetobacter sp. CIP 64.7	1144673
9997	Acinetobacter colistiniresistens	280145
9998	Acinetobacter sp. NIPH 3623	1217698
9999	Acinetobacter sp. NIPH 2100	1217708
10000	Acinetobacter sp. NIPH 542	1217688
10001	Acinetobacter sp. ANC 3880	1217701
10002	Acinetobacter sp. CIP 102143	1144666
10003	Acinetobacter ursingii NIPH 706	1217716
10004	Brucella abortus 225/65	1169203
10005	Brucella abortus 355/78	1169204
10006	Brucella abortus 544	1169205
10007	Brucella abortus 600/64	1169206
10008	Brucella abortus 63/130	1169207
10009	Brucella abortus 63/138	1169208
10010	Brucella abortus 63/144	1169209
10011	Brucella abortus 63/168	1160177
10012	Brucella abortus 63/294	1160181
10013	Brucella abortus 64/108	1160199
10014	Brucella abortus 64/81	1169210
10015	Brucella abortus 65/157	1160200
10016	Brucella abortus 65/63	1169211
10017	Brucella abortus 67/93	1169212
10018	Brucella abortus 78/14	1169213
10019	Brucella abortus 78/32	1198698
10020	Brucella abortus 80/101	1160185
10021	Brucella abortus 80/28	1169214
10022	Brucella abortus 84/26	1169215
10023	Brucella abortus 85/69	1160179
10024	Brucella abortus 87/28	1169216
10025	Brucella abortus 877/67	1160206
10026	Brucella abortus 88/217	1198697
10027	Brucella abortus F1/06-B21	1169218
10028	Brucella abortus F10/05-11	1169219
10029	Brucella abortus F10/06-3	1169220
10030	Brucella abortus F5/04-7	1160202
10031	Brucella abortus F6/05-3	1160207
10032	Brucella abortus F6/05-4	1160188
10033	Brucella abortus F6/05-9	1160208
10034	Brucella abortus NI352	1160165
10035	Brucella abortus NI422	1160168
10036	Brucella abortus NI495a	1160170
10037	Brucella abortus R42-08	1169221
10038	Brucella canis 79/122	1169222
10039	Brucella canis CNGB 513	1198685
10040	Brucella melitensis BG2 (S27)	1169223
10041	Brucella melitensis F1/06 B10	1160219
10042	Brucella melitensis F10/06-16	1169224
10043	Brucella melitensis F8/01-155	1160225
10044	Brucella melitensis F9/05	1169226
10045	Brucella melitensis UK14/06	1160217
10046	Brucella melitensis UK22/04	1160214
10047	Brucella melitensis UK23/06	1160213
10048	Brucella melitensis Uk24/06	1160222
10049	Brucella melitensis UK29/05	1169227
10050	Brucella melitensis UK3/06	1169228
10051	Brucella melitensis UK31/99	1169229
10052	Brucella melitensis UK37/05	1160216
10053	Brucella ovis 63/96	1169230
10054	Brucella ovis 81/8	1169232
10055	Brucella sp. 56/94	1169234
10056	Brucella sp. 63/311	1160235
10057	Brucella sp. F23/97	437670
10058	Brucella sp. F5/06	1169233
10059	Brucella sp. F8/99	437687
10060	Brucella sp. F96/2	437671
10061	Brucella sp. UK1/97	437663
10062	Brucella sp. UK40/99	437684
10063	Brucella suis 01-5744	1170703
10064	Brucella suis 63/198	1160227
10065	Brucella suis 63/261	1160228
10066	Brucella suis CNGB 247	1198683
10067	Brucella suis F12/02	1160229
10068	Brucella suis F5/05-10	1169236
10069	Brucella suis F5/05-4	1169238
10070	Brucella suis F7/06-1	1169239
10071	Brucella suis F7/06-2	1169240
10072	Brucella suis F7/06-5	1169241
10073	Brucella suis F8/06-1	1169242
10074	Brucella suis F8/06-3	1169243
10075	Brucella suis F9/06-1	1169244
10076	Brucella ovis IntaBari-2010-47-268	1293914
10077	Musca domestica	7370
10078	Sphingopyxis sp. MC1	1174684
10079	[Clostridium] clostridioforme CM201	999410
10080	[Clostridium] innocuum 2959	999413
10081	Hungatella hathewayi 12489931	999412
10082	Clostridium colicanis 209318	999411
10083	[Clostridium] clostridioforme 90B1	999409
10084	[Clostridium] clostridioforme 90A8	999408
10085	[Clostridium] clostridioforme 90A7	999407
10086	[Clostridium] clostridioforme 90A6	999406
10087	[Clostridium] clostridioforme 90A4	999405
10088	[Clostridium] clostridioforme 90A3	999404
10089	[Clostridium] clostridioforme 90A1	999403
10090	Clostridium butyricum 60E.3	997898
10091	[Clostridium] bolteae 90B8	997897
10092	[Clostridium] bolteae 90B7	997896
10093	[Clostridium] bolteae 90B3	997895
10094	[Clostridium] bolteae 90A9	997894
10095	[Clostridium] bolteae 90A5	997893
10096	Sphingomonas melonis C3	1090316
10097	Actinopolyspora halophila DSM 43834	1089546
10099	Amycolatopsis methanolica 239	1068978
10100	Rhizobium leguminosarum bv. trifolii SRDI565	935549
10101	Thiolinea disciformis DSM 14473	1123399
10102	Paracoccus sp. N5	1101189
10103	Dehalobacter sp. FTH1	1035308
10104	Oligella urethralis DSM 7531	1122620
10105	Corynebacterium capitovis DSM 44611	1121354
10106	Rhizobium leguminosarum bv. trifolii SRDI943	935550
10107	Rhizobium leguminosarum bv. viciae TOM	935553
10108	Corynebacterium doosanense CAU 212 = DSM 45436	558173
10109	Rhizobium leguminosarum bv. viciae WSM1481	935554
10110	Teredinibacter turnerae T8602	1056817
10111	Sinorhizobium medicae WSM1369	1041149
10112	Aggregatibacter actinomycetemcomitans DSM 8324	1120957
10113	Corynebacterium ciconiae DSM 44920	1121356
10114	Porphyromonas somerae DSM 23386	1122975
10115	Streptococcus ferus DSM 20646	1123303
10116	Corynebacterium ulceribovis DSM 45146	1121370
10117	Kribbella catacumbae DSM 19601	1122138
10119	Cupriavidus taiwanensis STM 6070	1040979
10120	Mycobacterium tuberculosis PR05	1279011
10121	Proteus mirabilis PR03	1279010
10122	Streptococcus agalactiae PR06	1279012
10123	Caulobacter vibrioides OR37	1292034
10124	Ralstonia pickettii OR214	1264675
10125	Astyanax mexicanus	7994
10126	Emiliania huxleyi CCMP1516	280463
10127	Streptomyces scabrisporus DSM 41855	1123320
10128	Bacillus sp. 37MA	1132442
10129	Marinobacter lipolyticus BF04_CF-4	1046724
10130	Methylobacterium sp. 77	1101192
10131	Methylocystis rosea SV97	1132444
10132	Methylosarcina fibrata AML-C10	1132443
10133	Methyloversatilis thermotolerans	1346290
10134	Candidatus Pelagibacter ubique HTCC1016	1115650
10135	Teredinibacter turnerae T0609	1206095
10136	Paraburkholderia tuberum	157910
10137	Hoeflea sp. 108	1116369
10138	Burkholderia sp. JPY251	667585
10139	Paraburkholderia symbiotica	863227
10140	Rhizobium gallicum bv. gallicum R602sp	1041138
10141	Leptotrichia shahii DSM 19757	1122172
10142	Enterococcus columbae DSM 7374 = ATCC 51263	1121865
10143	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	1121098
10144	Lewinella persica DSM 23188	1122179
10145	Bradyrhizobium sp. WSM4349	1040988
10146	Thermus oshimai DSM 12092	1123390
10147	Thermoanaerobacter indiensis BSB-33	1125975
10148	Prevotella paludivivens DSM 17968 = JCM 13650	1122990
10149	Meiothermus timidus DSM 17022	1122223
10150	Streptomyces sp. LaPpAH-202	1155716
10151	Echinicola pacifica DSM 19836	1121859
10152	Pontibacter roseus DSM 17521	1122967
10153	Rhizobium leguminosarum bv. viciae Vc2	1090946
10154	Streptomyces sp. CcalMP-8W	1155715
10155	Rhizobium leguminosarum bv. viciae Vh3	1079455
10156	Leptotrichia wadei DSM 19758	1122174
10157	Frankia discariae	365528
10158	Thiobacillus thioparus DSM 505	1123393
10159	Streptomyces sp. ScaeMP-e10	1156841
10160	Rhizobium leguminosarum bv. viciae 128C53	1041141
10161	Streptomyces sp. FxanaD5	1157639
10162	Dasania marina DSM 21967	1121374
10163	Streptomyces sp. LaPpAH-165	1156843
10164	Alkalispirochaeta alkalica DSM 8900	942938
10165	Streptomyces sp. HmicA12	1156844
10166	Streptomyces sp. MspMP-M5	1155718
10168	Streptomyces sp. LaPpAH-108	1155714
10169	Streptomyces sp. ATexAB-D23	1157635
10170	Streptomyces sp. BoleA5	1157637
10171	Streptomyces sp. PsTaAH-124	1157638
10172	Prevotella micans DSM 21469 = JCM 16134	1122987
10174	Oligella ureolytica DSM 18253	1122619
10175	Legionella shakespearei DSM 23087	1122169
10176	Erysipelothrix tonsillarum DSM 14972	1121874
10177	Corynebacterium pilosum DSM 20521	1121366
10178	Salinispora arenicola CNT849	1137264
10179	Salinispora arenicola CNS673	1144930
10180	Terrisporobacter glycolicus ATCC 14880 = DSM 1288	1121315
10181	Blautia producta ATCC 27340 = DSM 2950	1121114
10182	Mycobacterium sp. 155	1157943
10183	Actinopolymorpha alba DSM 45243	1120950
10184	Endozoicomonas elysicola DSM 22380	1121862
10185	Uliginosibacterium gangwonense DSM 18521	1123487
10186	Desulfobacter curvatus DSM 3379	1121396
10187	Kiloniella laminariae DSM 19542	1122135
10188	Spirosoma panaciterrae DSM 21099	1123277
10189	Segetibacter koreensis DSM 18137	1123248
10190	Spirosoma luteum DSM 19990	1123276
10191	Spirosoma spitsbergense DSM 19989	1123278
10192	Kangiella aquimarina DSM 16071	1122134
10193	Niabella aurantiaca DSM 17617	1122605
10194	Neomegalonema perideroedes DSM 15528	1122218
10195	Frankia elaeagni	222534
10196	Paenibacillus sp. HW567	1034769
10197	Bradyrhizobium japonicum USDA 124	1038862
10198	Methylophilus sp. 1	1112273
10199	Methyloversatilis discipulorum	1119528
10200	Actinobacillus capsulatus DSM 19761	1120931
10201	Actinomadura flavalba DSM 45200	561175
10202	Allofustis seminis DSM 15817	1120978
10203	Bacillus acidiproducens DSM 23148	444461
10204	Bacteroides gallinarum DSM 18171 = JCM 13658	1121096
10205	Brevibacillus laterosporus DSM 25	1121121
10206	Riemerella columbina DSM 16469	1123058
10207	Acinetobacter tjernbergiae DSM 14971 = CIP 107465	1120928
10208	Actinokineospora enzanensis DSM 44649	1120934
10209	Ahrensia kielensis DSM 5890	1120961
10210	Algicola sagamiensis DSM 14643	1120963
10211	Alistipes onderdonkii WAL 8169 = DSM 19147	1203611
10212	Amorphus coralli DSM 19760	1120983
10213	Anaeromusa acidaminophila DSM 3853	1120992
10214	Bacillus fordii DSM 16014 = CIP 108821	1121090
10215	Bacteroides barnesiae DSM 18169 = JCM 13652	1121094
10216	Campylobacter ureolyticus DSM 20703	1121102
10217	Brachymonas chironomi DSM 19884	1121116
10218	Arhodomonas aquaeolei DSM 8974	1121016
10219	Salinispora pacifica CNR942	1169187
10220	Salinispora pacifica CNS055	1169182
10221	Salinispora pacifica CNS860	1169186
10222	Salinispora pacifica DSM 45543 = CNS-863	999542
10223	Salinispora pacifica CNS996	1169189
10224	Salinispora pacifica CNT045	1169190
10225	Salinispora pacifica CNT124	1169188
10226	Chitiniphilus shinanonensis DSM 23277	1121280
10227	Paenibacillus sanguinis 2301083 = DSM 16941	1122925
10228	Paenibacillus terrigena DSM 21567	1122927
10229	Arthrobacter sp. 135MFCol5.1	1158050
10230	Bacillus sp. 105MF	1151120
10231	Arthrobacter sp. 162MFSha1.1	1151119
10232	Arthrobacter sp. 131MFCol6.1	1157944
10233	Arthrobacter sp. 161MFSha2.1	1151118
10234	Bacillus sp. 95MFCvi2.1	1151121
10235	Micromonospora sp. CNB394	1169151
10236	Salinispora arenicola CNS051	1169178
10237	Salinispora arenicola CNP193	1169170
10238	Salinispora arenicola CNP105	1169174
10239	Salinispora arenicola CNS744	1169168
10240	Salinispora arenicola CNX481	1169169
10241	Salinispora arenicola CNX814	1169171
10242	Salinispora arenicola CNY011	1169162
10243	Salinispora arenicola CNY231	1169179
10244	Salinispora arenicola CNY256	1169166
10245	Salinispora arenicola CNY260	1169177
10246	Salinispora arenicola CNY280	1169173
10247	Salinispora pacifica CNQ768	1169193
10248	Salinispora pacifica CNT584	1169191
10249	Salinispora pacifica CNT609	1169184
10250	Salinispora pacifica CNT851	1169180
10251	Salinispora arenicola CNY237	1169185
10252	Capsella rubella	81985
10253	Wohlfahrtiimonas chitiniclastica DSM 18708	1123502
10254	Corynebacterium mastitidis DSM 44356	1121365
10255	Bacteroides propionicifaciens DSM 19291 = JCM 14649	1121099
10256	Gracilimonas tropica DSM 19535	1121930
10258	Balneola vulgaris DSM 17893	1121104
10259	Desulfovibrio oxyclinae DSM 11498	1121459
10260	Streptococcus mutans DSM 20523	1123310
10261	Corynebacterium propinquum DSM 44285	1121367
10262	Kordiimonas gwangyangensis DSM 19435 = JCM 12864	1122137
10263	Sinorhizobium meliloti 4H41	1041151
10264	Streptomyces sp. FxanaC1	1157640
10265	Porphyromonas bennonis DSM 23058 = JCM 16335	1122971
10266	Rhizobium leguminosarum bv. viciae Ps8	1079454
10267	Streptomyces sp. LaPpAH-95	1157632
10268	Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896	1121022
10269	Martelella mediterranea DSM 17316	1122214
10271	Effusibacillus pohliae DSM 22757	1120973
10272	Acaricomes phytoseiuli DSM 14247	1120917
10273	Thermus igniterrae ATCC 700962	1123388
10274	Clostridioides difficile ATCC 9689 = DSM 1296	1121308
10275	Campylobacter curvus DSM 6644	1121268
10276	Methylobacterium sp. 88A	1131813
10277	Desulfurispora thermophila DSM 16022	1121472
10279	Thiobacillus denitrificans DSM 12475	1123392
10281	Tropheryma whipplei str. Neuro14	1294030
10282	Salmonella enterica subsp. houtenae serovar 16:z4,z32:-- str. RKS3027	1240348
10283	Epibacterium mobile F1926	1265309
10284	Streptomyces hokutonensis	1306990
10285	Wolbachia endosymbiont of Drosophila simulans wNo	1236908
10286	Wolbachia endosymbiont of Drosophila simulans wHa	1236909
10287	Mycoplasma putrefaciens Mput9231	1292033
10288	Mannheimia haemolytica M42548	1316932
10290	Cutibacterium acnes HL096PA1	1134454
10291	Xanthomonas fragariae LMG 25863	1131451
10292	Hahella ganghwensis DSM 17046	1121935
10293	Henriciella marina DSM 19595	1121949
10294	Demetria terragena DSM 11295	1121385
10295	Thioalkalivibrio sp. ALE14	1158168
10296	Thioalkalivibrio sp. ALJ7	1158756
10297	Alloscardovia criceti DSM 17774	1122228
10298	Thioalkalivibrio sp. AKL6	1158154
10299	Thioalkalivibrio sp. ALJ11	1158760
10300	Leeia oryzae DSM 17879	1122158
10301	Methanothermococcus thermolithotrophicus DSM 2095	523845
10302	Streptococcus henryi DSM 19005	1123304
10303	Streptococcus minor DSM 17118	1123309
10304	Salinispora pacifica CNY330	1169192
10305	Salinispora pacifica CNY331	1169181
10306	Salinispora tropica CNR699	1169198
10307	Salinispora tropica CNS416	1169195
10308	Streptomyces sp. CNQ766	1169157
10309	Streptomyces sp. CNS335	1169160
10310	Streptomyces sp. CNT372	1169154
10311	Streptomyces sp. CNY243	1169161
10312	Rhizobium sp. 42MFCr.1	1048680
10313	Thioalkalivibrio sp. ALJ3	1240557
10314	Thioalkalivibrio sp. ALJ4	1240558
10315	Thioalkalivibrio sp. ALJ5	1237929
10316	Thioalkalivibrio sp. ARh3	1158148
10317	Thioalkalivibrio sp. ALE25	1158177
10318	Thioalkalivibrio sp. ALJ10	1158759
10319	Thioalkalivibrio sp. ALgr3	1239292
10320	Thioalkalivibrio sp. ALJ16	1158762
10321	Thioalkalivibrio sp. ALJ6	748654
10322	Thioalkalivibrio sp. ALJ8	1158757
10323	Thioalkalivibrio sp. ALE31	1158182
10324	Thioalkalivibrio sp. ALE28	1158179
10325	Thioalkalivibrio sp. ALE9	1158169
10326	Thioalkalivibrio sp. ALE30	1158181
10327	Thioalkalivibrio sp. ALE27	1158178
10328	Paenibacillus massiliensis 2301065 = DSM 16942	1122921
10329	Streptomyces sp. CNT302	1169155
10330	Streptomyces sp. CNY228	1169159
10331	Rhizobium sp. 2MFCol3.1	1246459
10332	Variovorax paradoxus 4MFCol3.1	1150395
10333	Salinispora arenicola CNT859	1169163
10334	Prevotella veroralis DSM 19559 = JCM 6290	1122993
10335	Thiomonas sp. FB-6	1158291
10336	Halomonas zhanjiangensis DSM 21076	574966
10337	Prevotella oris DSM 18711 = JCM 12252	1122989
10338	Salsuginibacillus kocurii DSM 18087	1123239
10339	Pseudomonas umsongensis 20MFCvi1.1	1151128
10340	Gilvimarinus chinensis DSM 19667	1121921
10341	Gracilibacillus lacisalsi DSM 19029	1121929
10342	Thioalkalivibrio sp. ALJ24	545276
10343	Thioalkalivibrio sp. AKL3	1158153
10344	Thioalkalivibrio sp. AKL9	1158157
10345	Thioalkalivibrio sp. AKL11	545264
10346	Thioalkalivibrio sp. AKL17	1158160
10347	Thioalkalivibrio sp. ALMg11	1158165
10348	Thioalkalivibrio sp. AKL12	1158159
10349	Thioalkalivibrio sulfidiphilus	1033854
10350	Streptomyces sp. CNB091	1169156
10352	Coprothermobacter platensis DSM 11748	1259795
10353	Xanthobacteraceae bacterium 501b	1168059
10354	Marinobacterium rhizophilum DSM 18822	1122202
10355	Porphyromonas gulae DSM 15663	1122972
10356	Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930	1122985
10357	Rubritalea marina DSM 17716	1123070
10358	Rudaea cellulosilytica DSM 22992	1123073
10359	Saccharibacillus kuerlensis DSM 22868	1123226
10360	Saccharibacter floricola DSM 15669	1123227
10361	Salinimonas chungwhensis DSM 16280	1123236
10362	Sediminispirochaeta bajacaliforniensis DSM 16054	1123274
10363	Methylophilus methylotrophus DSM 46235 = ATCC 53528	1122236
10364	Azoarcus toluclasticus ATCC 700605	1261621
10365	Thioalkalivibrio sp. ARh4	1158151
10366	Thioalkalivibrio sp. ALgr1	748655
10367	Thioalkalivibrio sp. ALJ12	1158761
10368	Thioalkalivibrio sp. ALJ2	1261622
10369	Hirschia maritima DSM 19733	551275
10370	Megamonas rupellensis DSM 19944	1122217
10371	Paenibacillus daejeonensis DSM 15491	1122917
10372	Succinimonas amylolytica DSM 2873	1265507
10373	Cohnella laeviribosi DSM 21336	1121346
10374	Deinococcus aquatilis DSM 23025	1121378
10375	Elioraea tepidiphila DSM 17972	1121861
10376	Flavobacterium rivuli WB 3.3-2 = DSM 21788	1121895
10377	Halomonas lutea DSM 23508	1121943
10378	Pseudomonas sp. 35MFCvi1.1	1151123
10379	Thioalkalivibrio sp. ALE23	1265495
10380	Thioalkalivibrio sp. AL5	1158149
10381	Thioalkalivibrio sp. ALJ20	1158763
10382	Thioalkalivibrio sp. ALJ21	1158764
10383	Colwellia piezophila ATCC BAA-637	1265503
10384	Salinispora arenicola CNH877	1169176
10385	Salinispora arenicola CNH962	1169175
10386	Salinispora arenicola CNR107	1169167
10387	Salinispora arenicola CNY282	1169164
10388	Peptoniphilus lacrimalis DSM 7455	1122949
10389	Prevotella amnii DSM 23384 = JCM 14753	1122979
10390	Psychroflexus tropicus DSM 15496	1123035
10391	Sinorhizobium medicae WSM1115	935558
10392	Desulfitobacterium hafniense TCP-A	872024
10393	Salinispora pacifica DSM 45548 = CNT-148	999544
10394	Salinispora pacifica DSM 45544	999543
10395	Methyloversatilis universalis EHg5	999628
10396	Thioalkalivibrio thiocyanodenitrificans ARhD 1	713586
10397	Ensifer sp. BR816	1057002
10398	Rhizobium leguminosarum bv. phaseoli 4292	936350
10399	Orenia marismortui DSM 5156	926561
10400	Sphingomonas melonis DAPP-PG 224	1090320
10401	Salinispora pacifica DSM 45549 = CNT-150	999545
10402	Halomicrobium katesii DSM 19301	1069082
10403	Methylobacterium sp. WSM2598	398261
10404	Methylosinus sp. LW4	136993
10405	Bradyrhizobium elkanii USDA 76	398525
10406	Teredinibacter turnerae T7902	1056820
10407	Capnocytophaga cynodegmi DSM 19736	926551
10408	Verrucomicrobium sp. 3C	1134055
10409	Mariprofundus ferrooxydans M34	1188231
10410	Corynebacterium lubricantis DSM 45231	1121363
10411	Fangia hongkongensis FSC776 = DSM 21703	1089439
10412	Sciscionella marina DSM 45152	1123244
10413	Wenxinia marina DSM 24838	1123501
10414	Desulfitobacterium hafniense PCP-1	1090321
10415	Lamprocystis purpurea DSM 4197	765909
10416	Acetobacter aceti ATCC 23746	663932
10417	Cupriavidus sp. UYPR2.512	1080187
10418	Bradyrhizobium sp. WSM2793	1038866
10419	Rhizobium giardinii bv. giardinii H152	1041139
10420	Actinomycetospora chiangmaiensis DSM 45062	1120948
10421	Actinoplanes globisporus DSM 43857	1120949
10422	Butyricimonas synergistica DSM 23225	1121129
10423	Catelliglobosispora koreensis DSM 44566	1121272
10424	Corynebacterium caspium DSM 44850	1121355
10425	Cytophaga aurantiaca DSM 3654	1121373
10426	Enterococcus cecorum DSM 20682 = ATCC 43198	1121864
10427	Flexithrix dorotheae DSM 6795	1121904
10428	Gallibacterium anatis DSM 16844 = F 149	1121910
10429	Lewinella cohaerens DSM 23179	1122176
10430	Longispora albida DSM 44784	1122182
10431	Moraxella boevrei DSM 14165	1122243
10433	Nonomuraea coxensis DSM 45129	1122611
10434	Rodentibacter pneumotropicus DSM 21403	1122936
10435	Porphyromonas levii DSM 23370	1122973
10436	Porphyromonas macacae DSM 20710 = JCM 13914	1122974
10437	Prevotella nanceiensis DSM 19126 = JCM 15639	1122988
